sub,cond,date,V1,Handling,Offer,Choice,RT,Experiment.Time,Block,HandleTime,TravelTime,condCode
105,cogTask,10052018,52,10,20,1,9.99965405464172,907.276310920715,3,12,8,2
105,cogTask,10052018,53,10,4,0,0.284575939178467,917.611758947372,3,12,8,2
105,cogTask,10052018,54,10,4,1,10.0008039474487,935.644779920578,3,12,8,2
105,cogTask,10052018,55,10,8,1,9.99927115440369,955.694123029709,3,12,8,2
105,cogTask,10052018,56,10,8,1,10.0159759521484,975.761327028275,3,12,8,2
105,cogTask,10052018,57,10,4,0,0.457669019699097,986.270040988922,3,12,8,2
105,cogTask,10052018,58,10,20,1,9.9993839263916,1004.29532790184,3,12,8,2
105,cogTask,10052018,59,10,4,0,0.384770154953003,1014.73115801811,3,12,8,2
105,cogTask,10052018,60,10,8,1,9.99936008453369,1032.76266503334,3,12,8,2
105,cogTask,10052018,61,10,20,1,9.99940085411072,1052.813174963,3,12,8,2
105,cogTask,10052018,62,10,8,1,9.99937200546265,1072.86366391182,3,12,8,2
105,cogTask,10052018,63,10,20,1,10.0000748634338,1092.91498589516,3,12,8,2
105,cogTask,10052018,64,10,4,0,0.367055892944336,1103.33186006546,3,12,8,2
105,cogTask,10052018,65,10,20,1,10.0153601169586,1121.38106393814,3,12,8,2
105,cogTask,10052018,66,10,4,0,0.284333944320679,1131.71671795845,3,12,8,2
105,cogTask,10052018,67,10,8,1,10.0006539821625,1149.74864697456,3,12,8,2
105,cogTask,10052018,68,10,8,1,9.9987850189209,1169.79864692688,3,12,8,2
105,cogTask,10052018,69,10,8,1,10.000519990921,1189.85094809532,3,12,8,2
105,cogTask,10052018,70,10,20,1,9.99944806098938,1209.90032196045,3,12,8,2
105,cogTask,10052018,71,10,4,0,0.303287982940674,1220.25472807884,3,12,8,2
105,cogTask,10052018,72,10,4,0,0.544790029525757,1228.82972693443,3,12,8,2
105,cogTask,10052018,73,10,20,1,9.99925804138184,1246.86773991585,3,12,8,2
105,cogTask,10052018,74,10,8,1,9.99939107894897,1266.91840195656,3,12,8,2
105,cogTask,10052018,75,14,4,0,0.419451951980591,1294.52260994911,4,16,4,2
105,cogTask,10052018,76,14,4,0,0.322417020797729,1298.8757519722,4,16,4,2
105,cogTask,10052018,77,14,20,1,14.017303943634,1316.92068910599,4,16,4,2
105,cogTask,10052018,79,14,8,1,13.9994490146637,1345.00364208221,4,16,4,2
105,cogTask,10052018,80,14,8,1,13.9996140003204,1365.05408000946,4,16,4,2
105,cogTask,10052018,81,14,4,0,0.35384202003479,1371.45881295204,4,16,4,2
105,cogTask,10052018,82,14,20,1,14.0160911083221,1389.50466108322,4,16,4,2
105,cogTask,10052018,83,14,8,0,0.442070007324219,1395.9977440834,4,16,4,2
105,cogTask,10052018,84,14,20,1,14.0007410049438,1414.02304697037,4,16,4,2
105,cogTask,10052018,85,14,4,0,0.293781995773315,1420.36635398865,4,16,4,2
105,cogTask,10052018,86,14,8,0,0.528650999069214,1424.93516206741,4,16,4,2
105,cogTask,10052018,87,14,4,0,0.463937997817993,1429.43706798553,4,16,4,2
105,cogTask,10052018,88,14,4,0,0.467972993850708,1433.94124794006,4,16,4,2
105,cogTask,10052018,89,14,8,0,0.435831069946289,1438.40853595734,4,16,4,2
105,cogTask,10052018,90,14,8,1,13.999519109726,1456.43964099884,4,16,4,2
105,cogTask,10052018,91,14,20,1,14.0009768009186,1476.49125909805,4,16,4,2
105,cogTask,10052018,92,14,20,1,13.999559879303,1496.54054808617,4,16,4,2
105,cogTask,10052018,93,14,8,1,13.99964594841,1516.59141397476,4,16,4,2
105,cogTask,10052018,94,14,20,1,13.9999270439148,1536.64168906212,4,16,4,2
105,cogTask,10052018,95,14,8,0,0.268278121948242,1542.96019005775,4,16,4,2
105,cogTask,10052018,96,14,4,0,0.276062965393066,1547.26880908012,4,16,4,2
105,cogTask,10052018,97,14,4,0,0.406153917312622,1551.71529006958,4,16,4,2
105,cogTask,10052018,98,14,20,1,14.0161669254303,1569.79244208336,4,16,4,2
105,cogTask,10052018,99,14,8,0,0.247370958328247,1576.09056401253,4,16,4,2
105,cogTask,10052018,100,14,8,0,0.301525115966797,1580.42851305008,4,16,4,2
105,cogTask,10052018,101,14,4,0,0.285072088241577,1584.74498200417,4,16,4,2
105,cogTask,10052018,102,14,20,1,14.016144990921,1602.79330301285,4,16,4,2
105,cogTask,10052018,103,14,4,0,0.25430703163147,1609.09801006317,4,16,4,2
105,cogTask,10052018,105,14,20,1,14.0000360012054,1639.16079688072,4,16,4,2
105,cogTask,10052018,106,14,4,0,0.338386058807373,1645.55017805099,4,16,4,2
105,cogTask,10052018,107,14,8,1,16.4899640083313,1666.06863093376,4,16,4,2
105,cogTask,10052018,108,14,20,1,14.0003108978271,1686.12003707886,4,16,4,2
105,cogTask,10052018,109,14,4,0,0.350919961929321,1692.52130794525,4,16,4,2
105,cogTask,10052018,110,14,8,1,13.9993441104889,1710.55309295654,4,16,4,2
105,cogTask,10052018,111,2,20,1,2.01582407951355,1724.1531150341,5,4,16,2
105,cogTask,10052018,112,2,4,1,1.99905800819397,1744.22051000595,5,4,16,2
105,cogTask,10052018,113,2,4,1,1.99940013885498,1764.27113604546,5,4,16,2
105,cogTask,10052018,114,2,20,1,2.00005912780762,1784.32254600525,5,4,16,2
105,cogTask,10052018,115,2,8,1,1.99880790710449,1804.37183189392,5,4,16,2
105,cogTask,10052018,116,2,8,1,2.00098395347595,1824.4245569706,5,4,16,2
105,cogTask,10052018,117,2,8,1,2.00016212463379,1844.47421002388,5,4,16,2
105,cogTask,10052018,118,2,4,1,1.9994740486145,1864.52365398407,5,4,16,2
105,cogTask,10052018,119,2,20,1,1.99906086921692,1884.57412409782,5,4,16,2
105,cogTask,10052018,120,2,20,1,2.01693987846375,1904.64237689972,5,4,16,2
105,cogTask,10052018,121,2,8,1,1.99968504905701,1924.69176602364,5,4,16,2
105,cogTask,10052018,122,2,4,1,2.01664400100708,1944.75977396965,5,4,16,2
105,cogTask,10052018,123,2,4,1,2.0161759853363,1964.82634902,5,4,16,2
105,cogTask,10052018,124,2,8,1,1.99913001060486,1984.87664008141,5,4,16,2
105,cogTask,10052018,125,2,20,1,1.99913501739502,2004.92711210251,5,4,16,2
105,cogTask,10052018,126,2,8,1,2.00031518936157,2024.97845005989,5,4,16,2
105,cogTask,10052018,127,2,4,1,2.01601004600525,2045.04497599602,5,4,16,2
105,cogTask,10052018,128,2,20,1,2.01668405532837,2065.11278605461,5,4,16,2
105,cogTask,10052018,129,2,8,1,1.99913597106934,2085.16244387627,5,4,16,2
105,cogTask,10052018,130,2,4,1,2.00004100799561,2105.21376395226,5,4,16,2
105,cogTask,10052018,131,2,20,1,1.99919009208679,2125.26337003708,5,4,16,2
105,cogTask,10052018,133,10,4,0,0.255289077758789,2165.61965703964,6,12,8,2
105,cogTask,10052018,134,10,20,1,9.99946212768555,2183.6481859684,6,12,8,2
105,cogTask,10052018,135,10,4,0,0.547200918197632,2194.24622392654,6,12,8,2
105,cogTask,10052018,136,10,8,1,10.0160248279572,2212.2988948822,6,12,8,2
105,cogTask,10052018,137,10,8,1,10.015969991684,2232.36607098579,6,12,8,2
105,cogTask,10052018,138,10,20,1,9.99927496910095,2252.41655993462,6,12,8,2
105,cogTask,10052018,139,10,8,1,10.0004279613495,2272.46817493439,6,12,8,2
105,cogTask,10052018,140,10,4,0,0.276535034179688,2282.79473304749,6,12,8,2
105,cogTask,10052018,141,10,8,1,9.99918603897095,2300.83439397812,6,12,8,2
105,cogTask,10052018,142,10,4,0,0.317546844482422,2311.20285391808,6,12,8,2
105,cogTask,10052018,143,10,20,1,9.99936604499817,2329.2352309227,6,12,8,2
105,cogTask,10052018,144,10,20,1,9.99922204017639,2349.28567290306,6,12,8,2
105,cogTask,10052018,145,10,4,1,9.9993109703064,2369.33614397049,6,12,8,2
